X_GYRO_LOW,X_GYRO_OUT,Y_GYRO_LOW,Y_GYRO_OUT,Z_GYRO_LOW,Z_GYRO_OUT,X_ACCL_LOW,X_ACCL_OUT,Y_ACCL_LOW,Y_ACCL_OUT,Z_ACCL_LOW,Z_ACCL_OUT,TIME_STAMP
64242311,980,179357235,2736,-40509923,-619,-92093213,-1415,1403328,21,226204435,3451,0
65483773,999,179750704,2742,-39635440,-605,-93978619,-1434,2012364,30,225926151,3447,0
67310461,1027,179758260,2742,-39026928,-596,-94796837,-1447,4065979,62,224867848,3431,0
68423946,1044,179964328,2754,-38559469,-589,-96987457,-1480,5140014,78,224257934,3421,0
69535147,1061,180913141,2760,-38154723,-583,-97944941,-1495,7265261,110,223343217,3407,0
70517346,1076,181250391,2765,-38503935,-588,-100302144,-1531,8130731,124,222494654,3394,0
71759558,1094,182331379,2782,-38031435,-581,-101281376,-1546,9148403,146,220468260,3364,0
72216823,1101,182874383,2790,-37823542,-578,-103828418,-1585,9877287,150,219957838,3356,0
73522941,1121,184696141,2818,-37501869,-573,-105137201,-1605,9860950,150,217869568,3324,0
73914516,1127,185307073,2827,-37029378,-560,-108073636,-1650,10224168,156,217390992,3317,0
75092446,1145,187061881,2854,-36835624,-563,-109459624,-1671,10568599,161,217229268,3314,0
75549139,1152,188215833,2871,-36636962,-560,-113354807,-1730,11147832,170,217506239,3318,0
76139194,1168,190577903,2907,-37056577,-566,-115474994,-1763,12229559,186,217988573,3332,0
76921514,1173,191251534,2918,-37128074,-567,-119889036,-1830,13284740,202,219046004,3342,0
77312203,1179,193469874,2952,-37887710,-579,-122553538,-1871,14376333,219,219621408,3356,0
